year,value,country,mnemonic,varlabel,title,subtitle,wbcountry_name,wbccode,wbregion_name,wbincome_name,wblending,countryid,indicatorid,date
2018,54.966755,"NPL","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,225,"14 Aug 2024"
2021,30.093206,"NPL","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,220,"14 Aug 2024"
2020,53.97039,"NPL","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,225,"14 Aug 2024"
2014,6.0494514,"NPL","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,227,"14 Aug 2024"
2021,3.3989518,"NPL","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Nepal","NPL","South Asia","Lower middle income","IDA",124,217,"14 Aug 2024"
2025,2.4000001,"NPL","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,201,"14 Aug 2024"
2021,8.0344,"NPL","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,228,"14 Aug 2024"
2026,55.264343,"NPL","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,225,"14 Aug 2024"
2016,.4021565,"NPL","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Nepal","NPL","South Asia","Lower middle income","IDA",124,206,"14 Aug 2024"
2024,.50951564,"NPL","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Nepal","NPL","South Asia","Lower middle income","IDA",124,229,"14 Aug 2024"
2006,.62431896,"NPL","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Nepal","NPL","South Asia","Lower middle income","IDA",124,206,"14 Aug 2024"
2011,1.1444014,"NPL","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Nepal","NPL","South Asia","Lower middle income","IDA",124,211,"14 Aug 2024"
2022,5.3166213,"NPL","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,227,"14 Aug 2024"
2015,2.5827038,"NPL","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Nepal","NPL","South Asia","Lower middle income","IDA",124,203,"14 Aug 2024"
2017,8.9772797,"NPL","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,212,"14 Aug 2024"
2020,7.5059304,"NPL","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,222,"14 Aug 2024"
2014,80.334518,"NPL","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,221,"14 Aug 2024"
2008,.73238355,"NPL","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Nepal","NPL","South Asia","Lower middle income","IDA",124,229,"14 Aug 2024"
2017,106.2125,"NPL","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Nepal","NPL","South Asia","Lower middle income","IDA",124,218,"14 Aug 2024"
2010,28.257671,"NPL","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,214,"14 Aug 2024"
2021,-21.319479,"NPL","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,209,"14 Aug 2024"
2015,53.491714,"NPL","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,225,"14 Aug 2024"
2009,35.620289,"NPL","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,207,"14 Aug 2024"
2011,28.451935,"NPL","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,207,"14 Aug 2024"
2019,112.87984,"NPL","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Nepal","NPL","South Asia","Lower middle income","IDA",124,218,"14 Aug 2024"
2018,-5.8333321,"NPL","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,208,"14 Aug 2024"
2005,-3.0344558,"NPL","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,209,"14 Aug 2024"
2024,3.3,"NPL","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,212,"14 Aug 2024"
2024,3.5,"NPL","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Nepal","NPL","South Asia","Lower middle income","IDA",124,203,"14 Aug 2024"
2016,1.2056564,"NPL","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,208,"14 Aug 2024"
2024,-16.533503,"NPL","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,213,"14 Aug 2024"
2026,12.134384,"NPL","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,216,"14 Aug 2024"
2017,23.082668,"NPL","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,216,"14 Aug 2024"
2025,28.469664,"NPL","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,220,"14 Aug 2024"
2018,10.364487,"NPL","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,215,"14 Aug 2024"
2015,14.994149,"NPL","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,216,"14 Aug 2024"
2009,35.570599,"NPL","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,220,"14 Aug 2024"
2005,6.8903313,"NPL","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,214,"14 Aug 2024"
2015,.99092335,"NPL","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Nepal","NPL","South Asia","Lower middle income","IDA",124,205,"14 Aug 2024"
2011,93.098099,"NPL","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Nepal","NPL","South Asia","Lower middle income","IDA",124,219,"14 Aug 2024"
2016,82.195831,"NPL","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,221,"14 Aug 2024"
2009,1.5463287,"NPL","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Nepal","NPL","South Asia","Lower middle income","IDA",124,217,"14 Aug 2024"
2009,-2.0540755,"NPL","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,208,"14 Aug 2024"
2025,1.0372955,"NPL","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Nepal","NPL","South Asia","Lower middle income","IDA",124,229,"14 Aug 2024"
2013,14.134912,"NPL","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,214,"14 Aug 2024"
2019,49.338669,"NPL","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,223,"14 Aug 2024"
2014,1.8202325,"NPL","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,208,"14 Aug 2024"
2015,9.5833826,"NPL","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,214,"14 Aug 2024"
2022,84.047081,"NPL","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,221,"14 Aug 2024"
2007,-.10843193,"NPL","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,202,"14 Aug 2024"
2017,99.948532,"NPL","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Nepal","NPL","South Asia","Lower middle income","IDA",124,219,"14 Aug 2024"
2021,39.922268,"NPL","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,207,"14 Aug 2024"
2014,21.008852,"NPL","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,214,"14 Aug 2024"
2008,47.943745,"NPL","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,225,"14 Aug 2024"
2014,9.083498,"NPL","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,228,"14 Aug 2024"
2009,8.4461088,"NPL","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,226,"14 Aug 2024"
2005,3.0120618,"NPL","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,215,"14 Aug 2024"
2021,-3.996603,"NPL","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,208,"14 Aug 2024"
2015,37.199886,"NPL","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,223,"14 Aug 2024"
2005,-.02018378,"NPL","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Nepal","NPL","South Asia","Lower middle income","IDA",124,210,"14 Aug 2024"
2017,5.1747284,"NPL","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,201,"14 Aug 2024"
2023,-.6081059,"NPL","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Nepal","NPL","South Asia","Lower middle income","IDA",124,229,"14 Aug 2024"
2009,3.8723283,"NPL","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,209,"14 Aug 2024"
2026,1.0030738,"NPL","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Nepal","NPL","South Asia","Lower middle income","IDA",124,205,"14 Aug 2024"
2014,14.864633,"NPL","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Nepal","NPL","South Asia","Lower middle income","IDA",124,224,"14 Aug 2024"
2011,8.514082,"NPL","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Nepal","NPL","South Asia","Lower middle income","IDA",124,227,"14 Aug 2024"
